time,open,high,low,close,"SP500, S&P DOW JONES INDICES LLC: Open","SP500, S&P DOW JONES INDICES LLC: High","SP500, S&P DOW JONES INDICES LLC: Low","SP500, S&P DOW JONES INDICES LLC: Close",Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1624887000,138.04,138.64,136.6,138.1,4290.61,4290.61,4290.61,4290.61,5183022,7097455.85,5183022,7097455.85,5183022,7097455.85,5183022,7097455.85,5183022,7097455.85,5183022,7097455.85,137.65176817713416,138.04128935702906,138.599495819609,139.15012777502315,-0.12622545698030074,-0.8573921223699017,-0.731166665389601,73.40213795955148,55.48835934782239,47.67271717109549
1624973400,137.9,138.47,137.23,137.3,4291.8,4291.8,4291.8,4291.8,11987485,7350703,11987485,7350703,11987485,7350703,11987485,7350703,11987485,7350703,11987485,7350703,137.57359747110434,137.93539087745347,138.48135983600818,139.08405178305804,-0.09209310721673225,-0.8462830494105162,-0.754189942193784,77.38854653658281,68.55880952575244,44.99305106756316
1625059800,139.56,142.58,138.69,141.02,4297.5,4297.5,4297.5,4297.5,15170351,7720920.9,15170351,7720920.9,15170351,7720920.9,15170351,7720920.9,15170351,7720920.9,15170351,7720920.9,138.33946469974782,138.37604932353156,138.71214530546197,139.15319279080597,0.17840557636101928,-0.5311829717425098,-0.7095885481035291,81.51439728643442,77.43502726085624,49.53862310276928
1625146200,140.41,141.25,139.01,139.32,4319.94,4319.94,4319.94,4319.94,8782850,7853822.2,8782850,7853822.2,8782850,7853822.2,8782850,7853822.2,8782850,7853822.2,8782850,7853822.2,138.5573614331372,138.51089942016992,138.76740482314725,139.15915019113433,0.23657575053765945,-0.41386885993145484,-0.6504446104691143,80.65860107932087,79.85384830077936,42.30601257007193
1625232600,139.35,141.08,139.35,140.11,4352.34,4352.34,4352.34,4352.34,8762569,8064687.05,8762569,8064687.05,8762569,8064687.05,8762569,8064687.05,8762569,8064687.05,8762569,8064687.05,138.90239222577338,138.73934236014566,138.88945893013386,139.19310911287954,0.31697993077258857,-0.25421969700337854,-0.5711996277759671,87.80193334569422,83.32497723714984,44.04997303096183
1625578200,139.9,140.75,139.515,139.94,4343.54,4343.54,4343.54,4343.54,6093058,8092158.55,6093058,8092158.55,6093058,8092158.55,6093058,8092158.55,6093058,8092158.55,6093058,8092158.55,139.13297173115708,138.91086488012485,138.98496266375804,139.21978378741954,0.3451176166254519,-0.13980260699415226,-0.48492022361960413,82.47557016492162,83.64536819664558,44.17783654377001
1625664600,139.76,141.19,139.36,139.71,4358.13,4358.13,4358.13,4358.13,8535819,8183606.7,8535819,8183606.7,8535819,8183606.7,8535819,8183606.7,8535819,8183606.7,8535819,8183606.7,139.2612002353444,139.025027040107,139.05087514887094,139.23729150929742,0.3344049996946926,-0.06691397400123833,-0.40131897369593095,83.69257828151355,84.6566939307098,51.54877526322472
1625751000,138.34,140.65,138.2209,139.59,4320.82,4320.82,4320.82,4320.82,7089047,8253302.7,7089047,8253302.7,7089047,8253302.7,7089047,8253302.7,7089047,8253302.7,7089047,8253302.7,139.33426684971232,139.10573746294887,139.09988649897358,139.24988824110824,0.306161105098336,-0.018617592323010967,-0.32477869742134696,81.18282415932828,82.45032420192115,51.24210364361993
1625837400,140.41,140.84,139.93,140.3,4369.55,4369.55,4369.55,4369.55,5061763,8233417.9,5061763,8233417.9,5061763,8233417.9,5061763,8233417.9,5061763,8233417.9,5061763,8233417.9,139.54887421644293,139.27634639681332,139.20898772633961,139.28739223249724,0.3206803948041364,0.07607179608382353,-0.24460859872031288,81.78932422278433,82.22157555454204,59.996438402506456
1626096600,140.69,140.79,139.33,140.05,4384.63,4384.63,4384.63,4384.63,6504976,8138125.5,6504976,8138125.5,6504976,8138125.5,6504976,8138125.5,6504976,8138125.5,6504976,8138125.5,139.66023550167785,139.38686834012572,139.28544338758147,139.31462822419377,0.299245842059947,0.12944870385462082,-0.16979713820532613,81.66466597653896,81.5456047862172,54.13336281068904
1626183000,139.99,141.18,139.94,140.58,4369.21,4369.21,4369.21,4369.21,6315868,8201574.1,6315868,8201574.1,6315868,8201574.1,6315868,8201574.1,6315868,8201574.1,6315868,8201574.1,139.86462761241611,139.55731572010777,139.40313035234678,139.3598200733297,0.30549548805604504,0.21207222186473018,-0.09342326619131486,85.62333111471908,83.02577377134746,54.17784618933489
1626269400,140.71,141.8,139.83,141.55,4374.3,4374.3,4374.3,4374.3,6270671,8192988.05,6270671,8192988.05,6270671,8192988.05,6270671,8192988.05,6270671,8192988.05,6270671,8192988.05,140.23915480965698,139.84198490294952,139.59830032031525,139.4380407849965,0.35615292278744665,0.35176788729299346,-0.004385035494453182,90.34319423203563,85.87706377443122,59.772502283578035
1626355800,142,142.64,141.09,141.66,4360.03,4360.03,4360.03,4360.03,5991612,8012651.5,5991612,8012651.5,5991612,8012651.5,5991612,8012651.5,5991612,8012651.5,5991612,8012651.5,140.55489818528875,140.1017013453853,139.78572756392296,139.51739647124663,0.37629381730370315,0.46598223613517575,0.0896884188314726,96.90803787172001,90.95818773949156,59.20602651404056
1626442200,141.7,142.13,140.95,141.56,4327.16,4327.16,4327.16,4327.16,6031805,7991877.8,6031805,7991877.8,6031805,7991877.8,6031805,7991877.8,6031805,7991877.8,6031805,7991877.8,140.77825414411348,140.31002972461596,139.9470250581118,139.59034659727354,0.3619923575171574,0.5421788657279194,0.180186508210762,98.7789310630484,95.34338772226802,52.29270402984509
1626701400,141.41,142.98,139.77,141.23,4258.49,4258.49,4258.49,4258.49,9127720,7701384.95,9127720,7701384.95,9127720,7701384.95,9127720,7701384.95,9127720,7701384.95,9127720,7701384.95,140.87864211208824,140.44145404967082,140.063659143738,139.64890564737092,0.31134968698259324,0.5693736169390036,0.2580239299564103,93.3949248877379,96.36063127416878,50.37065723139965
1626787800,140.97,142.47,140.777,141.87,4323.06,4323.06,4323.06,4323.06,6340100,7672138.8,6340100,7672138.8,6340100,7672138.8,6340100,7672138.8,6340100,7672138.8,6340100,7672138.8,141.09894386495753,140.64553204257498,140.2278719488527,139.72823044567912,0.3017773270568326,0.6352455887774511,0.3334682617206185,93.3949248877379,95.1895936128414,58.93297509655607
1626874200,142.5,142.54,140.705,141.17,4358.69,4358.69,4358.69,4358.69,6197299,7663556.05,6197299,7663556.05,6197299,7663556.05,6197299,7663556.05,6197299,7663556.05,6197299,7663556.05,141.1147341171892,140.72045603649283,140.31351995350246,139.77972221547628,0.23224535999410695,0.6237749617132522,0.39152960171914525,78.08465564156558,88.29150180568045,48.72843113128368
1626960600,141.13,142.1171,140.8,141.27,4367.48,4367.48,4367.48,4367.48,4337765,7557268.45,4337765,7557268.45,4337765,7557268.45,4337765,7557268.45,4337765,7557268.45,4337765,7557268.45,141.14923764670272,140.79896231699385,140.40047268500223,139.8329464220664,0.17930165029839362,0.6156566645921373,0.4363550142937437,67.9574441761508,79.81234156848475,51.02632461516189
1627047000,141.52,142.72,141.01,142.43,4411.79,4411.79,4411.79,4411.79,5315836,7432327.6,5315836,7432327.6,5315836,7432327.6,5315836,7432327.6,5315836,7432327.6,5315836,7432327.6,141.433851502991,141.03196770028043,140.58497516818383,139.92569833556405,0.20676859461667202,0.6948157575645837,0.4880471629479117,67.9574441761508,71.33318133128905,49.18252090609853
1627306200,142.36,143.86,141.46,142.63,4422.3,4422.3,4422.3,4422.3,6172445,7263603.05,6172445,7263603.05,6172445,7263603.05,6172445,7263603.05,6172445,7263603.05,6172445,7263603.05,141.6996622801041,141.2602580288118,140.77088651653077,140.02228053786533,0.2214592917324547,0.7648712776134801,0.5434119858810254,84.48878235927472,73.4678902371921,56.06721901024212
1627392600,143,143,141.96,142.64,4401.46,4401.46,4401.46,4401.46,5131905,7261047.2,5131905,7261047.2,5131905,7261047.2,5131905,7261047.2,5131905,7261047.2,5131905,7261047.2,141.90862621785874,141.4573640246958,140.94080592411888,140.11577051865586,0.2147418673529019,0.8118393200721528,0.5970974527192509,100,84.14874217847516,48.35647265720294
1627479000,142.48,143.25,141.66,142.06,4400.64,4400.64,4400.64,4400.64,4690487,6896197.3,4690487,6896197.3,4690487,6896197.3,4690487,6896197.3,4690487,6896197.3,4690487,6896197.3,141.94226483611234,141.54345487831068,141.04255084010808,140.18520728584673,0.15681652384435218,0.7931181075246911,0.636301583680339,84.22946097724963,89.57274777884145,49.67185507873852
1627565400,142.64,142.85,142.0229,142.24,4419.15,4419.15,4419.15,4419.15,3687689,6322064.2,3687689,6322064.2,3687689,6322064.2,3687689,6322064.2,3687689,6322064.2,3687689,6322064.2,142.00842820586516,141.6429613242663,141.1514098546437,140.25859273992364,0.11797559883468423,0.7837710822236943,0.6657954833890101,71.98859941126723,85.40602012950562,48.86905998166458
1627651800,141.2,142.955,141.2,142.55,4395.26,4395.26,4395.26,4395.26,5444061,6155124.75,5444061,6155124.75,5444061,6155124.75,5444061,6155124.75,5444061,6155124.75,5444061,6155124.75,142.12877749345068,141.77253827794254,141.27855441331246,140.3404287134978,0.1011599291266363,0.7922453947973054,0.6910854656706691,64.02401871488921,73.41402636780201,49.450683579996195
1627911000,142.83,142.87,141.67,142.22,4387.16,4387.16,4387.16,4387.16,6652841,6049638.35,6652841,6049638.35,6652841,6049638.35,6652841,6049638.35,6652841,6049638.35,6652841,6049638.35,142.14904916157275,141.8364613810936,141.3641403757386,140.4075562594443,0.05795689914985913,0.763531589607993,0.7055746904581339,58.474539233069414,64.82905245307528,49.707169533738885
1627997400,142.44,143.9,142.36,143.82,4423.15,4423.15,4423.15,4423.15,6305118,6060241.35,6305118,6060241.35,6305118,6060241.35,6305118,6060241.35,6305118,6060241.35,6305118,6060241.35,142.52037157011213,142.11982404093737,141.58740034158055,140.52942925017842,0.12351555285721483,0.8599691315296525,0.7364535786724377,70.7154007990518,64.40465291567013,49.79135569077907
1628083800,143.38,143.94,142.74,142.84,4402.66,4402.66,4402.66,4402.66,5100528,5888476.8,5100528,5888476.8,5100528,5888476.8,5100528,5888476.8,5100528,5888476.8,5100528,5888476.8,142.59140011008722,142.22270632080347,141.7012730378005,140.61194963410063,0.08887614029681667,0.8475487540434585,0.7586726137466419,55.40091411268054,61.530284714933906,42.88837567868869
1628170200,144.23,145.54,143.99,145.49,4429.1,4429.1,4429.1,4429.1,9001814,5984115.15,9001814,5984115.15,9001814,5984115.15,9001814,5984115.15,9001814,5984115.15,9001814,5984115.15,143.23553341895672,142.6894625606887,142.04570276163682,140.78616571859703,0.224705929160801,1.039555025197643,0.8148490960368421,76.7209326172507,67.61241584299434,52.23135272757176
1628256600,146.21,146.47,144.95,145.23,4436.52,4436.52,4436.52,4436.52,6421230,6052088.5,6421230,6052088.5,6421230,6052088.5,6421230,6052088.5,6421230,6052088.5,6421230,6052088.5,143.6787482147441,143.05239648059032,142.33518432876073,140.94487408579,0.2740405369847474,1.1573997672677763,0.8833592302830289,72.40574406459446,68.17586359817521,61.936181800563745
