time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,K,D,MF
1132237800,49.03999,49.3,48.86,49.24001,6703000,13135485.25,6703000,13135485.25,6703000,13135485.25,6703000,13135485.25,6703000,13135485.25,6703000,13135485.25,48.69391052307186,48.22959057080685,47.581774758202535,46.6108458688433,0.12399693104552167,1.0450555299353397,0.921058598889818,69.03513297578826,80.61614251649867,81.34744378416126
1132324200,49.66,49.8,49.00999,49.5,13152301,13124725.3,13152301,13124725.3,13152301,13124725.3,13152301,13124725.3,13152301,13124725.3,13152301,13124725.3,48.87304151794478,48.411077632120154,47.75615887109321,46.71402994495604,0.112473966649148,1.061651057201253,0.949177090552105,70.02318452814697,73.54313459698228,80.45515690185618
1132583400,49.53999,49.8,49.41,49.62,9840199,13097545.2,9840199,13097545.2,9840199,13097545.2,9840199,13097545.2,9840199,13097545.2,9840199,13097545.2,49.03903229173483,48.58378082753156,47.9255989737211,46.81781458977904,0.09836017792175089,1.0721273129542936,0.9737671350325428,75.4886742739906,71.51566392597532,80.30333458021849
1132669800,49.34,50.23,48.72,50.2,15508000,13122840.1,15508000,13122840.1,15508000,13122840.1,15508000,13122840.1,15508000,13122840.1,15508000,13122840.1,49.29702511579376,48.81466928074134,48.13236270338282,46.93860692585836,0.11249432143773341,1.1143850368297095,1.001890715391976,88.02462758521388,77.84549546245051,80.69455608805092
1132756200,50.3,50.72,50.07001,50.57001,11903602,13121135.25,11903602,13121135.25,11903602,13121135.25,11903602,13121135.25,11903602,13121135.25,11903602,13121135.25,49.57991064561737,49.06543224063544,48.35396700307529,47.06829989279199,0.12993531793291324,1.1643098628081177,1.0343745448752044,95.15985460764959,86.22438548895138,80.32769381040228
1132929000,50.69,50.87,50.32001,50.49001,6317301,12815365.35,6317301,12815365.35,6317301,12815365.35,6317301,12815365.35,6317301,12815365.35,6317301,12815365.35,49.782154946591284,49.26894334911609,48.548152730068445,47.19050382519228,0.11951996418753885,1.183774500109628,1.0642545359220892,96.81710320847053,93.3338618004447,85.87115352930503
1133188200,50.62,50.66,49.83,50,16693102,13012615.35,16693102,13012615.35,16693102,13012615.35,16693102,13012615.35,16693102,13012615.35,16693102,13012615.35,49.83056495845989,49.37338001352808,48.680138845516765,47.29084297429256,0.06575248931578681,1.1464451475668227,1.0806926582510359,74.84694638637116,88.94130140083045,76.54401299648512
1133274600,50.00999,50.10001,48.82001,49.00999,18482896,12807424.95,18482896,12807424.95,18482896,12807424.95,18482896,12807424.95,18482896,12807424.95,18482896,12807424.95,49.648214967691025,49.32146715445264,48.71012531410615,47.35224108235354,-0.04442737046084422,1.0251584451749807,1.0695858156358249,41.51361305303782,71.05922088262652,71.90868181284654
1133361000,49.12,49.17999,48.53,48.56,11770000,12806484.9,11770000,12806484.9,11770000,12806484.9,11770000,12806484.9,11770000,12806484.9,11770000,12806484.9,49.40638941931524,49.21268613238798,48.69647755827832,47.39537532941234,-0.14962553611445006,0.8825538954927623,1.0321794316072124,11.363176511233968,42.574578650214335,65.3702748439982
1133447400,48.59,48.75,47.53,48.03,23882800,13368064.95,23882800,13368064.95,23882800,13368064.95,23882800,13368064.95,23882800,13368064.95,23882800,13368064.95,49.100525103911856,49.04373097061827,48.63588868934392,47.41804049621904,-0.2509516351470161,0.7184898876734422,0.9694415228204584,-4.736951571734001e-15,17.62559652142395,53.85490226259048
1133533800,47.83,48.46001,47.50999,47.97,10951699,13114224.9,10951699,13114224.9,10951699,13114224.9,10951699,13114224.9,10951699,13114224.9,10951699,13114224.9,48.849297303042555,48.89034083195852,48.57535335394902,47.43775333563979,-0.3139728447580791,0.5769754668728595,0.8909483116309386,-4.736951571734001e-15,3.787725503744675,47.81732390738641
1133793000,47.89,47.89,47.09,47.14,20292400,13605300,20292400,13605300,20292400,13605300,20292400,13605300,20292400,13605300,20292400,13605300,48.469453457921986,48.64029214167873,48.4448666854082,47.42711928793837,-0.39810560933957706,0.3933162999564672,0.7914219092960443,-4.736951571734001e-15,1.7368822429691336e-14,39.240668786480285
1133879400,47.41,47.92,47.32001,47.62,20522000,14022644.9,20522000,14022644.9,20522000,14022644.9,20522000,14022644.9,20522000,14022644.9,20522000,14022644.9,48.28068602282821,48.49453612143891,48.369878804916546,47.43400788479771,-0.40655180622228204,0.2832321515181917,0.6897839577404737,4.4158411077600705,1.4719470359200206,48.71532572548436
1133965800,47.8,48.06,47.42,47.75,10770199,14185844.9,10770199,14185844.9,10770199,14185844.9,10770199,14185844.9,10770199,14185844.9,10770199,14185844.9,48.16275579553305,48.38817381837621,48.31352618628777,47.445293317483504,-0.38852593369941235,0.20412654061620827,0.5926524743156206,9.993374946044039,4.803072017934702,48.39674362313847
1134052200,47.75999,47.88,47.5,47.7,12361398,14132499.75,12361398,14132499.75,12361398,14132499.75,12361398,14132499.75,12361398,14132499.75,12361398,14132499.75,48.05992117430348,48.289863272893896,48.25775107844343,47.45438998471624,-0.3654544772398991,0.1358343777657467,0.5012888550056458,15.165339533829462,9.858185195877857,43.78337898731664
1134138600,47.60001,48.46001,47.58,48.08,11188500,13745055.15,11188500,13745055.15,11188500,13745055.15,11188500,13745055.15,11188500,13745055.15,11188500,13745055.15,48.06438313556937,48.259882805337625,48.241591889494025,47.4767331995478,-0.31215545027041447,0.11109454216762771,0.4232499924380422,19.501467217816018,14.886727232563175,43.1339084689303
1134397800,48.35001,48.88,48.3,48.67999,15462000,13912235.25,15462000,13912235.25,15462000,13912235.25,15462000,13912235.25,15462000,13912235.25,15462000,13912235.25,48.2011846609984,48.31989811886082,48.281446263176385,47.51970665670681,-0.2279536774998725,0.13830789556320155,0.36626157306307405,27.74529610513748,20.804034285594323,44.62992144873878
1134484200,48.39999,49.71001,48.36,49.47,20294192,14235234.9,20294192,14235234.9,20294192,14235234.9,20294192,14235234.9,20294192,14235234.9,20294192,14235234.9,48.483143625220976,48.48419838759499,48.389496602887625,47.58935999039585,-0.1161504733924204,0.22107348132254856,0.33722395471496897,41.990583907750484,29.745782410234664,45.85691149746279
1134570600,49.46001,49.69,49.14,49.50999,12293199,14007404.45,12293199,14007404.45,12293199,14007404.45,12293199,14007404.45,12293199,14007404.45,12293199,14007404.45,48.711331708505206,48.63074004650999,48.49135963898875,47.65795391931028,-0.04050792934976699,0.2865890430277602,0.3270969723775272,53.59295563354389,41.10961188214395,45.895358088246404
1134657000,49.38,49.55,48.82001,49.25999,9213398,13880109.3,9213398,13880109.3,9213398,13880109.3,9213398,13880109.3,9213398,13880109.3,9213398,13880109.3,48.83325577328183,48.720632897008564,48.56123512635341,47.71516949362063,-0.009909652205000619,0.31470990712127644,0.32461955932627706,61.83691765225236,52.473485731182244,42.228602857422935
1134743400,49.58,49.63,49.05,49.27,12616000,14175759.3,12616000,14175759.3,12616000,14175759.3,12616000,14175759.3,12616000,14175759.3,12616000,14175759.3,48.93031004588587,48.799113911721626,48.62566829668492,47.77069915456275,0.007467555722566743,0.3339540039794855,0.32648644825691875,71.38692235823667,62.272265214677645,49.23814098045311
1135002600,49.12,49.74001,48.89999,48.96001,9457500,13991019.25,9457500,13991019.25,9457500,13991019.25,9457500,13991019.25,9457500,13991019.25,9457500,13991019.25,48.93691003568901,48.82209906718997,48.65606299698629,47.81317454189979,-0.004791560846243215,0.32049699719911473,0.32528855804535795,74.2041243757641,69.14265479541771,51.496313689847305
1135089000,48.84,48.95,48.44,48.60001,9339199,13965969.25,9339199,13965969.25,9339199,13965969.25,9339199,13965969.25,9339199,13965969.25,9339199,13965969.25,48.86204336109145,48.7903720575914,48.65096726998754,47.84127580826051,-0.038164108741722214,0.2775834221182052,0.3157475308599274,68.98545111433548,71.52549928277875,52.13626311328129
1135175400,48.85001,48.94,48.47,48.64999,7799102,13580524.35,7799102,13580524.35,7799102,13580524.35,7799102,13580524.35,7799102,13580524.35,7799102,13580524.35,48.814920391960015,48.770317477935485,48.6508784272614,47.870158457965495,-0.05676975271582363,0.24478533996514784,0.30155509268097147,57.697794641849306,66.96245671064962,60.969746498217894
1135261800,48.64999,48.8,48.3632,48.60001,6699898,13320339.15,6699898,13320339.15,6699898,13320339.15,6699898,13320339.15,6699898,13320339.15,6699898,13320339.15,48.76716252708001,48.74598783823041,48.64625402478309,47.89622458446673,-0.07139427271841942,0.21231225178294721,0.28370652450136663,51.27063074651492,59.317958834233224,62.38089326526643
1135348200,48.5,48.58,48.17,48.34,7157398,13362344,7157398,13362344,7157398,13362344,7157398,13362344,7157398,13362344,7157398,13362344,48.67223752106223,48.68798957562607,48.61841274980281,47.91207370645006,-0.0959977617809708,0.1637093222751531,0.2597070840561239,40.082549938621156,49.68365844232846,67.16396804673819
1135693800,48.41,48.45,47.36,47.73,13135500,13184463.9,13135500,13184463.9,13135500,13184463.9,13135500,13184463.9,13135500,13184463.9,13135500,13184463.9,48.46285140527062,48.5511339219652,48.537647954366186,47.90557107407684,-0.14768286561564384,0.07510350203656913,0.22278636765221296,22.40294931472458,37.918709999953556,57.48201868013081
1135780200,47.84,48.3,47.75,47.84,7262602,12623449.2,7262602,12623449.2,7262602,12623449.2,7262602,12623449.2,7262602,12623449.2,7262602,12623449.2,48.32443998187715,48.44954336168446,48.47422541306017,47.90322925000267,-0.16734746531019565,0.01360203601446841,0.18094950132466406,8.107228171550743,23.53090914163216,56.54275293724072
1135866600,47.87,48.02,47.42,47.48,7720602,12420979.3,7720602,12420979.3,7720602,12420979.3,7720602,12420979.3,7720602,12420979.3,7720602,12420979.3,48.13678665257112,48.31103716715811,48.38384128460015,47.88811391964543,-0.1955242658097195,-0.0634558309374853,0.13206843487223419,2.4486574965592283,10.986278327611517,58.263474643956094
1135953000,47.47,47.47,46.75,46.8,10436801,11748679.35,10436801,11748679.35,10436801,11748679.35,10436801,11748679.35,10436801,11748679.35,10436801,11748679.35,47.83972295199976,48.09517471470695,48.23985571327287,47.84925270822952,-0.24753528749230586,-0.17735067449314812,0.07018461299915772,2.4486574965592283,4.334847721556398,51.21658913034015
1136298600,46.36,46.66,45.57001,46.23,23413808,12371784.8,23413808,12371784.8,23413808,12371784.8,23413808,12371784.8,23413808,12371784.8,23413808,12371784.8,47.482006740444255,47.82872118403453,48.05714155752079,47.79142225436418,-0.3041745075547178,-0.31003352144423957,-0.005859013889521744,5.921189464667501e-16,1.632438331039484,39.05844332841044
1136385000,46.24001,46.5,46.10001,46.32001,14089801,12061654.85,14089801,12061654.85,14089801,12061654.85,14089801,12061654.85,14089801,12061654.85,14089801,12061654.85,47.22378524256776,47.61319101488674,47.89922050683708,47.73887181670832,-0.3179318996637774,-0.4032738884692435,-0.0853419888054661,1.4033954202098837,1.2840176389230376,36.14239427239509
1136471400,46,46.39999,45.28999,45.69,20758608,12073485.25,20758608,12073485.25,20758608,12073485.25,20758608,12073485.25,20758608,12073485.25,20758608,12073485.25,46.8829440775527,47.33844944133149,47.6983822789428,47.66569782325445,-0.349315970735007,-0.5219869522242249,-0.17267098148921786,1.4033954202098837,0.9355969468065893,26.470622176182047
1136557800,45.69,45.88,45.10001,45.88,21132704,12591610.5,21132704,12591610.5,21132704,12591610.5,21132704,12591610.5,21132704,12591610.5,21132704,12591610.5,46.660067615874325,47.130099521141275,47.533074799038914,47.60192290099536,-0.3369756135651536,-0.5938904984456599,-0.2569148848805063,4.416208097868892,2.407666312762886,24.796837222886126
1136817000,45.89,46.14999,45.56,45.71001,14890500,12718065.6,14890500,12718065.6,14890500,12718065.6,14890500,12718065.6,14890500,12718065.6,14890500,12718065.6,46.448943701235585,46.92722958954966,47.36734163548992,47.53435458310267,-0.32008221898228906,-0.6570176586083676,-0.3369354396260785,5.079355310100115,3.6329862760596305,25.350537652413777
1136903400,45.5,46.03,45.46001,45.86,13422500,12829765.6,13422500,12829765.6,13422500,12829765.6,13422500,12829765.6,13422500,12829765.6,13422500,12829765.6,46.318067323183236,46.774768219613996,47.23031057771811,47.47455620513472,-0.2800707402235756,-0.687023864905548,-0.4069531246819724,10.686178539941677,6.727247315970228,24.893985894926757
1136989800,46.06,46.60001,45.75999,46.57001,14179301,12765630.65,14179301,12765630.65,14179301,12765630.65,14179301,12765630.65,14179301,12765630.65,14179301,12765630.65,46.37405458469807,46.74551704538342,47.17028325247101,47.44225098352276,-0.1912892560469036,-0.6460646947406019,-0.4547754386936983,26.991517210295303,14.252350353445697,32.03749587819557
1137076200,46.25,46.39,45.67,45.74001,11425000,12322171.05,11425000,12322171.05,11425000,12322171.05,11425000,12322171.05,11425000,12322171.05,11425000,12322171.05,46.2331557880985,46.60187318175722,47.040258411337284,47.381456662682666,-0.17443760295872413,-0.6728224423921034,-0.4983848394333793,35.582631655632916,24.420109135289966,27.100572887133595
1137162600,45.67999,45.89,45.31,45.39999,10260398,12220531,10260398,12220531,10260398,12220531,10260398,12220531,10260398,12220531,10260398,12220531,46.048007835187725,46.43017558436333,46.89114310121571,47.31068999615829,-0.17188660848571413,-0.7132431000405219,-0.5413564915548078,38.54174387105534,33.70529757899452,26.66305019881362
1137508200,45.39999,45.42,44.7,44.95,17118096,12615765.9,17118096,12615765.9,17118096,12615765.9,17118096,12615765.9,17118096,12615765.9,17118096,12615765.9,45.8040060940349,46.21872192945428,46.71467554655974,47.22637963915263,-0.1850589812686907,-0.7726802181406711,-0.5876212368719804,24.550300273140994,32.89155859994308,25.432472175632128
1137594600,44.64999,45.39,44.61,45.17999,13191602,12644546,13191602,12644546,13191602,12644546,13191602,12644546,13191602,12644546,13191602,12644546,45.66533585091603,46.07033165381796,46.57515867869067,47.15329429489718,-0.16357941659325215,-0.7920955076135456,-0.6285160910202935,25.780288316656936,29.624110820284425,32.012820450115015
1137681000,45.17999,45.89,45.06,45.8,18141696,13078755.8,18141696,13078755.8,18141696,13078755.8,18141696,13078755.8,18141696,13078755.8,18141696,13078755.8,45.695261217379134,46.03171284612968,46.50468970790061,47.10496235579371,-0.09624368729075272,-0.7488207001337344,-0.6525770128429816,48.6063441658591,32.978977585219006,35.38712444716337
1137767400,45.64,45.7,44.81,45,19354192,13579505.45,19354192,13579505.45,19354192,13579505.45,19354192,13579505.45,19354192,13579505.45,19354192,13579505.45,45.54075872462821,45.88432529668258,46.3678997344551,47.02978512880108,-0.09409841454489165,-0.7702000310240962,-0.6761016164792045,61.36695150842612,45.25119466364739,33.62151907465403
1138026600,45,45.47,44.53999,45.25,15821199,13980610.3,15821199,13980610.3,15821199,13980610.3,15821199,13980610.3,15821199,13980610.3,15821199,13980610.3,45.47614567471083,45.7937073971565,46.26627248586827,46.96622137420104,-0.06570269943249807,-0.7582299907698271,-0.692527291337329,74.3618991441501,61.44506493947844,32.899582469923374
